samplesize,party,results,favorability
1204.0,d,1,-22.000600000000002
1553.0,d,1,-2.0000999999999998
838.0,d,1,-17.6672
1198.0,d,1,-20.333900000000003
1859.0,d,1,-6.667000000000002
1187.0,d,1,-18.000500000000002
1218.0,d,1,-14.333799999999997
1196.0,d,1,-22.6673
1190.0,d,1,-15.333800000000004
835.0,d,1,-17.000500000000002
1810.0,d,1,-0.00030000000000285354
1267.0,d,1,-12.667099999999998
1203.0,d,1,-19.000500000000002
892.0,d,1,1.333400000000001
1002.0,d,1,0.9998000000000005
1000.0,d,1,5.999899999999997
1129.0,d,1,-8.3337
1000.0,d,1,8.9999
1195.0,d,1,-1.333400000000001
1003.0,d,1,0.999800000000004
926.0,d,1,-2.0000999999999998
1235.0,d,1,-21.000500000000002
1078.0,d,1,-19.000500000000002
2488.0,d,1,-2.666999999999998
1196.0,d,1,-17.40051
1017.0,d,1,-3.6668999999999983
2009.0,d,1,0.9998000000000005
1193.0,d,1,-7.667000000000002
1337.0,d,1,0.0
1173.0,d,1,-12.333699999999997
2001.0,d,1,14.666699999999999
1000.0,d,1,8.333300000000001
1179.0,d,1,-11.666999999999998
1160.0,d,1,-0.6667000000000023
877.0,d,1,14.333299999999994
1064.0,d,1,-19.6672
2531.0,d,1,5.333199999999998
1083.0,d,1,-6.000299999999999
1100.0,d,1,-18.000500000000002
1000.0,d,1,4.999899999999997
1013.0,d,1,6.333200000000005
1124.0,d,1,-18.333800000000004
1156.0,d,1,-6.333599999999997
2214.0,d,1,8.333299999999998
1100.0,d,1,-4.000300000000003
1001.0,d,1,12.0
1210.0,d,1,-13.666999999999998
1992.0,d,1,4.0001999999999995
1147.0,d,1,-4.666899999999998
1131.0,d,1,-11.000399999999999
1255.0,d,1,-13.333700000000004
1604.0,d,1,-0.3335000000000008
1000.0,d,1,-2.000200000000003
1466.0,d,1,2.0000999999999998
2182.0,d,1,9.666600000000003
1002.0,d,1,5.333199999999998
1001.0,d,1,13.333399999999997
1104.0,d,1,-1.666800000000002
1996.0,d,1,12.333299999999994
1197.0,d,1,-11.3337
1103.0,d,1,-14.667100000000005
1185.0,d,1,-6.333599999999997
902.0,d,1,6.666999999999998
1295.0,d,1,10.666599999999995
1118.0,d,1,-4.666899999999998
1000.0,d,1,17.666800000000002
1107.0,d,1,-1.0000999999999998
1078.0,d,1,6.666999999999998
1237.0,d,1,-3.666900000000002
1166.0,d,1,-1.3335000000000008
1536.0,d,1,15.666699999999999
1068.0,d,1,5.333299999999994
1001.0,d,1,14.000100000000003
913.0,d,1,6.667000000000002
1261.0,d,1,-2.3334999999999972
1992.0,d,1,7.333699999999997
1183.0,d,1,-2.0001999999999995
1263.0,d,1,0.6664999999999992
1221.0,d,1,4.666599999999999
1002.0,d,1,32.66709999999999
1437.0,d,1,24.3335
1242.0,d,1,9.666700000000006
1278.0,d,1,14.333399999999997
1273.0,d,1,8.0
1000.0,d,1,28.000299999999996
1792.0,d,1,27.333599999999997
1914.0,d,1,12.000600000000002
1845.0,d,1,10.667200000000001
1993.0,d,1,11.3339
1997.0,d,1,10.667199999999998
1996.0,d,1,10.667199999999998
1540.0,d,1,28.6669
1984.0,d,1,11.333900000000003
1989.0,d,1,12.000600000000002
1003.0,d,1,29.000299999999996
1203.0,r,0,-7.998899999999999
1553.0,r,0,-11.3339
838.0,r,0,-15.3338
1198.0,r,0,-13.667099999999998
1859.0,r,0,-24.667299999999997
1187.0,r,0,-19.0005
1988.0,r,0,-10.000499999999995
1218.0,r,0,-21.667199999999998
1994.0,r,0,-9.333799999999997
1196.0,r,0,-22.000499999999995
1993.0,r,0,-11.333900000000003
1190.0,r,0,-19.667099999999998
835.0,r,0,-20.667199999999998
1983.0,r,0,-10.000499999999995
1810.0,r,0,-25.667299999999997
1270.0,r,0,-19.6672
1997.0,r,0,-8.000399999999999
1000.0,r,0,-5.333600000000001
1198.0,r,0,-24.000599999999995
1989.0,r,0,-9.333799999999997
892.0,r,0,-8.000400000000003
1135.0,r,0,-24.3339
1993.0,r,0,-10.667200000000001
1195.0,r,0,-11.333900000000003
1235.0,r,0,-15.667099999999998
1003.0,r,0,-28.3341
1991.0,r,0,-10.000500000000002
1078.0,r,0,-21.667199999999998
1195.0,r,0,-18.133819999999993
2488.0,r,0,-10.000499999999995
1017.0,r,0,-26.334000000000003
1193.0,r,0,-22.0006
2009.0,r,0,-29.000699999999995
1337.0,r,0,-11.333899999999996
1994.0,r,0,-8.000399999999999
1177.0,r,0,-20.0005
900.0,r,0,-19.333800000000004
1994.0,r,0,-8.667099999999998
1179.0,r,0,-26.333999999999996
1998.0,r,0,-8.000399999999999
877.0,r,0,-29.000600000000002
1064.0,r,0,-13.3337
2531.0,r,0,-25.334
1086.0,r,0,-20.3339
1000.0,r,0,-8.667099999999998
1987.0,r,0,-9.333799999999997
1100.0,r,0,-20.0005
1998.0,r,0,-7.3337
